,NOMBRE,EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
,SERGI GUARDIOLA,RAYO VALLECANO,0,3,14,12,2,25,14,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,0,6,33,11,22,279,240,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGIO CAMELLO,RAYO VALLECANO,0,7,73,52,21,168,134,3,5,0.13,0.00,0.13,0.13,0.00,0.00,0.00
,SERGIO CARREIRA,RC CELTA,0,6,22,19,3,88,73,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGIO GONZÁLEZ,CD LEGANÉS,0,19,101,50,51,728,565,43,0,0.25,0.00,0.25,0.00,0.00,0.25,0.00
,SERGIO GÓMEZ,REAL SOCIEDAD,64,37,111,90,21,574,468,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGIO HERRERA,CA OSASUNA,0,1,5,4,1,456,172,112,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGIO MESTRE,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SEYDOUBA CISSÉ,CD LEGANÉS,2,21,110,84,26,453,367,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SHERALDO BECKER,REAL SOCIEDAD,0,2,44,25,19,148,102,4,0,0.08,0.00,0.08,0.00,0.08,0.00,0.00
,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SILVI CLUA,GIRONA FC,0,8,28,19,9,93,71,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,4,19,19,0,15,12,0,1,1.00,0.00,1.00,0.00,1.00,0.00,0.00
,STANKO JURIC,REAL VALLADOLID CF,0,23,99,68,31,308,249,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,STIPE BIUK,,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,0,13,80,62,18,166,96,10,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,STOLE DIMITRIEVSKI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,9,1,28,26,2,76,64,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RODRIGO RIQUELME,ATLÉTICO DE MADRID,8,8,50,43,7,176,153,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RODRYGO SILVA DE GOES,REAL MADRID,23,6,80,69,11,389,348,3,0,0.25,0.00,0.25,0.00,0.25,0.00,0.00
,ROMAIN PERRAUD,REAL BETIS,0,19,101,86,15,478,386,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RUBÉN GARCÍA,CA OSASUNA,15,21,89,64,25,324,226,22,0,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RUBÉN PEÑA,CA OSASUNA,4,6,66,51,15,83,53,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,0,6,4,2,452,285,57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,2,9,70,61,9,319,239,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,0,40,186,136,50,698,525,46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SANDRO RAMÍREZ,UD LAS PALMAS,21,15,68,59,9,178,128,4,1,0.40,0.10,0.30,0.10,0.30,0.00,0.10
,SANTI COMESAÑA,VILLARREAL CF,0,31,130,104,26,537,453,23,3,0.33,0.00,0.33,0.33,0.00,0.00,0.00
,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,0,13,49,33,16,165,126,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SAÚL ÑÍGUEZ,SEVILLA FC,1,9,45,33,12,169,131,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SCOTT MCKENNA,UD LAS PALMAS,0,8,53,20,33,507,416,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SEBAS WADE,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SELIM AMALLAH,REAL VALLADOLID CF,10,12,89,82,7,166,127,7,2,0.14,0.00,0.14,0.00,0.14,0.00,0.00
,SERGI ALTIMIRA,REAL BETIS,0,23,95,80,15,552,463,26,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGI CANÓS,VALENCIA CF,3,6,31,26,5,74,42,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,SERGI CARDONA,VILLARREAL CF,1,28,111,79,32,447,335,19,0,0.10,0.00,0.10,0.10,0.00,0.00,0.00
,RAPHAEL DIAS BELLOLI,FC BARCELONA,70,19,114,109,5,567,417,25,5,0.28,0.03,0.25,0.25,0.03,0.00,0.00
,RAÚL ASENCIO DEL ROSARIO,REAL MADRID,0,6,30,20,10,246,223,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAÚL ALBIOL,VILLARREAL CF,0,6,54,18,36,567,472,29,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAÚL CHASCO,REAL VALLADOLID CF,0,4,12,12,0,39,21,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAÚL GARCÍA,CA OSASUNA,0,3,44,30,14,59,36,0,0,0.20,0.20,0.00,0.00,0.20,0.00,0.00
,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAÚL MARTÍNEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAÚL MORO,REAL VALLADOLID CF,20,13,115,104,11,258,172,18,0,0.27,0.09,0.18,0.00,0.18,0.09,0.00
,RAÚL DE TOMÁS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,0,16,69,52,17,376,297,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RENATO TAPIA,CD LEGANÉS,0,25,100,78,22,376,255,22,3,0.25,0.25,0.00,0.00,0.25,0.00,0.00
,RICARD ARTERO,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RICARDO RODRÍGUEZ,REAL BETIS,0,9,28,20,8,167,134,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROBERT LEWANDOWSKI,FC BARCELONA,0,6,106,77,29,272,195,8,1,0.38,0.03,0.35,0.05,0.28,0.05,0.00
,ROBERT NAVARRO,RCD MALLORCA,3,20,110,101,9,260,195,5,2,0.10,0.00,0.10,0.00,0.10,0.00,0.00
,ROBERTO LÓPEZ,CD LEGANÉS,10,7,33,26,7,167,129,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROBIN LE NORMAND,ATLÉTICO DE MADRID,0,11,55,36,19,420,364,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RODRIGO SÁNCHEZ RODRÍGUEZ,,3,2,17,15,2,59,49,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RODRIGO ABAJAS,VALENCIA CF,0,3,9,8,1,20,11,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RODRIGO DE PAUL,ATLÉTICO DE MADRID,8,5,51,46,5,493,381,31,13,0.50,0.00,0.50,0.00,0.50,0.00,0.00
,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,7,22,103,99,4,857,704,50,9,0.33,0.11,0.22,0.22,0.11,0.00,0.00
,PEDRO DÍAZ,RAYO VALLECANO,2,1,9,6,3,50,42,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PEDRO ORTIZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PEIO CANALES,ATHLETIC CLUB,0,1,3,3,0,10,8,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,0,1,2,2,0,6,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PEP CHAVARRÍA,RAYO VALLECANO,0,12,49,38,11,311,245,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,41,17,80,55,25,549,410,42,2,0.14,0.00,0.14,0.00,0.14,0.00,0.00
,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,3,8,92,70,22,183,143,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PERE GARCÍA,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PERE MILLA,RCD ESPANYOL DE BARCELONA,3,3,33,28,5,73,43,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,0,5,37,25,12,46,30,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,POL LOZANO,RCD ESPANYOL DE BARCELONA,7,20,70,60,10,255,189,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,6,4,18,13,5,58,51,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAFA MIR,VALENCIA CF,0,6,28,19,9,41,25,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,0,4,19,14,5,47,38,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAMON TERRATS,VILLARREAL CF,0,3,22,17,5,73,55,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RAMÓN MARTÍNEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RANDY NTEKA,RAYO VALLECANO,0,5,80,33,47,89,55,2,0,0.17,0.00,0.17,0.17,0.00,0.00,0.00
,ORIOL ROMEU,GIRONA FC,0,21,70,58,12,423,367,18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ORRI ÓSKARSSON,REAL SOCIEDAD,0,4,42,15,27,57,34,1,0,0.29,0.00,0.29,0.14,0.14,0.00,0.00
,PABLO BARRIOS,ATLÉTICO DE MADRID,0,16,81,64,17,485,400,22,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO BUSTO,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO DURÁN,RC CELTA,0,3,21,15,6,49,37,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO FORNALS,REAL BETIS,23,11,83,61,22,453,347,22,5,0.10,0.00,0.10,0.00,0.10,0.00,0.00
,PABLO IBÁÑEZ,CA OSASUNA,1,7,67,41,26,134,87,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO MAFFEO,RCD MALLORCA,0,19,91,77,14,287,200,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO MARÍN,REAL SOCIEDAD,0,3,20,14,6,39,23,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
